"SettlementPoint","Year","Month","DayOfWeek","NormalizedPrice"
"LZ_CPS",2016,1,1,0.931504543924604
"LZ_CPS",2016,1,1,0.817401548300236
"LZ_CPS",2016,1,1,0.791147761696398
"LZ_CPS",2016,1,1,0.792157522719623
"LZ_CPS",2016,1,1,0.807808818579603
"LZ_CPS",2016,1,1,0.847694378996971
"LZ_CPS",2016,1,1,0.959272972063278
"LZ_CPS",2016,1,1,0.969875462807136
"LZ_CPS",2016,1,1,0.965331538202625
"LZ_CPS",2016,1,1,0.996129249410973
"LZ_CPS",2016,1,1,1.04308313699091
"LZ_CPS",2016,1,1,1.04409289801414
"LZ_CPS",2016,1,1,1.02743184113093
"LZ_CPS",2016,1,1,1.01430494782901
"LZ_CPS",2016,1,1,0.964826657691013
"LZ_CPS",2016,1,1,0.977953550992932
"LZ_CPS",2016,1,1,1.01430494782901
"LZ_CPS",2016,1,1,1.26725008414675
"LZ_CPS",2016,1,1,1.33136990912151
"LZ_CPS",2016,1,1,1.17940087512622
"LZ_CPS",2016,1,1,1.15516661056883
"LZ_CPS",2016,1,1,1.08145405587344
"LZ_CPS",2016,1,1,1.02692696061932
"LZ_CPS",2016,1,1,0.994109727364524
"LZ_CPS",2016,1,2,0.937357467178929
"LZ_CPS",2016,1,2,0.885583382984406
"LZ_CPS",2016,1,2,0.847122634725618
"LZ_CPS",2016,1,2,0.839233250467405
"LZ_CPS",2016,1,2,0.883611036919853
"LZ_CPS",2016,1,2,0.870790787500257
"LZ_CPS",2016,1,2,0.99258315698642
"LZ_CPS",2016,1,2,1.05619131756826
"LZ_CPS",2016,1,2,1.16269800505414
"LZ_CPS",2016,1,2,1.23863332853944
"LZ_CPS",2016,1,2,1.16269800505414
"LZ_CPS",2016,1,2,1.08084564337518
"LZ_CPS",2016,1,2,1.02660612659996
"LZ_CPS",2016,1,2,0.970887350276334
"LZ_CPS",2016,1,2,0.902348324533109
"LZ_CPS",2016,1,2,0.886076469500544
"LZ_CPS",2016,1,2,0.955108581759908
"LZ_CPS",2016,1,2,1.16467035111869
"LZ_CPS",2016,1,2,1.16319109157028
"LZ_CPS",2016,1,2,1.07542169169766
"LZ_CPS",2016,1,2,1.02364760750313
"LZ_CPS",2016,1,2,0.985186859244345
"LZ_CPS",2016,1,2,0.980255994082962
"LZ_CPS",2016,1,2,0.909251535759045
"LZ_CPS",2016,1,3,0.945778098958921
"LZ_CPS",2016,1,3,0.892120774146925
"LZ_CPS",2016,1,3,0.877486958289108
"LZ_CPS",2016,1,3,0.886700842347734
"LZ_CPS",2016,1,3,0.922472392222398
"LZ_CPS",2016,1,3,0.95986992163682
"LZ_CPS",2016,1,3,1.04496285088413
"LZ_CPS",2016,1,3,1.08561233937806
"LZ_CPS",2016,1,3,1.09320024389693
"LZ_CPS",2016,1,3,1.09591020979653
"LZ_CPS",2016,1,3,1.07585646213952
"LZ_CPS",2016,1,3,1.01135927372914
"LZ_CPS",2016,1,3,0.928976310381428
"LZ_CPS",2016,1,3,0.885074862807976
"LZ_CPS",2016,1,3,0.869357060590321
"LZ_CPS",2016,1,3,0.865563108330887
"LZ_CPS",2016,1,3,0.920304419502721
"LZ_CPS",2016,1,3,1.15336148686796
"LZ_CPS",2016,1,3,1.18750705720286
"LZ_CPS",2016,1,3,1.13222375285111
"LZ_CPS",2016,1,3,1.09753618933628
"LZ_CPS",2016,1,3,1.06718457126081
"LZ_CPS",2016,1,3,1.01786319188817
"LZ_CPS",2016,1,3,0.983717621553262
"LZ_CPS",2016,1,4,0.7625163337689
"LZ_CPS",2016,1,4,0.765204405450812
"LZ_CPS",2016,1,4,0.783124883330222
"LZ_CPS",2016,1,4,0.806421504573455
"LZ_CPS",2016,1,4,0.866455105469479
"LZ_CPS",2016,1,4,0.979802128056748
"LZ_CPS",2016,1,4,2.42956878850103
"LZ_CPS",2016,1,4,1.61821915251073
"LZ_CPS",2016,1,4,1.09852529400784
"LZ_CPS",2016,1,4,1.07970879223446
"LZ_CPS",2016,1,4,0.98249019973866
"LZ_CPS",2016,1,4,0.909016240433078
"LZ_CPS",2016,1,4,0.853462759006907
"LZ_CPS",2016,1,4,0.784468919171178
"LZ_CPS",2016,1,4,0.736979652790741
"LZ_CPS",2016,1,4,0.740563748366623
"LZ_CPS",2016,1,4,0.781332835542281
"LZ_CPS",2016,1,4,1.03177151390704
"LZ_CPS",2016,1,4,1.22620869889864
"LZ_CPS",2016,1,4,1.02908344222513
"LZ_CPS",2016,1,4,1.01519507186858
"LZ_CPS",2016,1,4,0.966809781594176
"LZ_CPS",2016,1,4,0.913944371849916
"LZ_CPS",2016,1,4,0.839126376703379
"LZ_CPS",2016,1,5,0.751700076873041
"LZ_CPS",2016,1,5,0.751227012004021
"LZ_CPS",2016,1,5,0.756903790432263
"LZ_CPS",2016,1,5,0.780557033883271
"LZ_CPS",2016,1,5,0.851516764236296
"LZ_CPS",2016,1,5,1.00668204127491
"LZ_CPS",2016,1,5,2.32700609071019
"LZ_CPS",2016,1,5,1.41541008810833
"LZ_CPS",2016,1,5,1.09277984743658
"LZ_CPS",2016,1,5,1.07622257702087
"LZ_CPS",2016,1,5,1.01803559813139
"LZ_CPS",2016,1,5,0.97782508426468
"LZ_CPS",2016,1,5,0.933830051445804
"LZ_CPS",2016,1,5,0.902134705221453
"LZ_CPS",2016,1,5,0.851516764236296
"LZ_CPS",2016,1,5,0.833067234344509
"LZ_CPS",2016,1,5,0.873750813080243
"LZ_CPS",2016,1,5,1.07149192833067
"LZ_CPS",2016,1,5,1.07574951215185
"LZ_CPS",2016,1,5,1.03790432263024
"LZ_CPS",2016,1,5,0.993909289811365
"LZ_CPS",2016,1,5,0.930518597362663
"LZ_CPS",2016,1,5,0.880373721246526
"LZ_CPS",2016,1,5,0.809887055762521
"LZ_CPS",2016,1,6,0.692328842452571
"LZ_CPS",2016,1,6,0.587297222985978
"LZ_CPS",2016,1,6,0.564751168545505
"LZ_CPS",2016,1,6,0.641737695903217
"LZ_CPS",2016,1,6,0.752268353038218
"LZ_CPS",2016,1,6,0.954083035468793
"LZ_CPS",2016,1,6,1.28512510310696
"LZ_CPS",2016,1,6,1.19604069287875
"LZ_CPS",2016,1,6,1.12565301072312
"LZ_CPS",2016,1,6,1.12235358812208
"LZ_CPS",2016,1,6,1.14489964256255
"LZ_CPS",2016,1,6,1.08111080560902
"LZ_CPS",2016,1,6,1.02502062139126
"LZ_CPS",2016,1,6,1.03656860049491
"LZ_CPS",2016,1,6,1.01567225735496
"LZ_CPS",2016,1,6,0.971130052240858
"LZ_CPS",2016,1,6,1.01292273852076
"LZ_CPS",2016,1,6,1.37365960956833
"LZ_CPS",2016,1,6,1.33296673082211
"LZ_CPS",2016,1,6,1.17679406103932
"LZ_CPS",2016,1,6,1.09815782238108
"LZ_CPS",2016,1,6,1.02447071762442
"LZ_CPS",2016,1,6,0.924938135826231
"LZ_CPS",2016,1,6,0.860049491339016
"LZ_CPS",2016,1,7,0.846437736771355
"LZ_CPS",2016,1,7,0.651692533300746
"LZ_CPS",2016,1,7,0.625882928021508
"LZ_CPS",2016,1,7,0.645240131980936
"LZ_CPS",2016,1,7,0.747305389221557
"LZ_CPS",2016,1,7,0.877526579494073
"LZ_CPS",2016,1,7,1.25645851154833
"LZ_CPS",2016,1,7,1.26232433092998
"LZ_CPS",2016,1,7,1.17081754857632
"LZ_CPS",2016,1,7,1.15263350849322
